title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year
300,456,702%,7,65,211,46.20%,245,53.80%,2007
1917,385,427%,4.3,90,159,41.40%,225,58.60%,2019
2012,791,396%,4,200,166,21.00%,625,79.00%,2009
101 Dalmatians,321,479%,4.8,67,136,42.50%,185,57.50%,1996
22 Jump Street,331,663%,6.6,50,192,57.90%,140,42.10%,2014
300: Rise of an Empire,338,307%,3.1,110,107,31.60%,231,68.40%,2014
A Beautiful Mind,317,546%,5.5,58,171,53.90%,146,46.10%,2001
A Bug's Life,363,303%,3,120,163,44.80%,200,55.20%,1998
A Christmas Carol,325,163%,1.6,200,138,42.40%,187,57.60%,2009
A Haunted House,60,2406%,24.1,2.5,40,66.60%,20.1,33.40%,2013
A Quiet Place,341,2006%,20.1,17,188,55.20%,153,44.80%,2018
A Star Is Born,436,1212%,12.1,36,215,49.40%,221,50.60%,2018
Air Force One,315,371%,3.7,85,173,54.90%,142,45.10%,1997
Aladdin,1051,574%,5.7,183,356,33.80%,695,66.20%,2019
Aladdin,504,1800%,18,28,217,43.10%,287,56.90%,1992
Alice in Wonderland,1025,513%,5.1,200,334,32.60%,691,67.40%,2010
Alita: Battle Angel,405,238%,2.4,170,86,21.20%,319,78.80%,2019
Alvin & the Chipmunks: The Squeakquel,443,591%,5.9,75,220,49.60%,224,50.40%,2009
Alvin and the Chipmunks,365,522%,5.2,70,217,59.50%,148,40.50%,2007
Alvin and the Chipmunks: Chipwrecked,343,428%,4.3,80,133,38.80%,210,61.20%,2011
American Beauty,356,2375%,23.8,15,130,36.50%,226,63.50%,1999
American Sniper,547,928%,9.3,59,350,64.00%,197,36.00%,2014
Angels & Demons,486,324%,3.2,150,133,27.40%,353,72.60%,2009
Annabelle,255,3927%,39.3,6.5,84.3,33.00%,171,67.00%,2014
Annabelle: Creation,306,2039%,20.4,15,102.1,33.40%,203.7,66.60%,2017
Ant-Man,519,399%,4,130,180,34.70%,339,65.30%,2015
Ant-Man and the Wasp,623,319%,3.2,195,217,34.80%,406,65.20%,2018
Apollo 13,355,683%,6.8,52,174,48.90%,181,51.10%,1995
Aquaman,1149,718%,7.2,160,335,29.20%,813,70.80%,2018
Armageddon,554,396%,4,140,202,36.40%,352,63.60%,1998
As Good as It Gets,314,628%,6.3,50,148,47.30%,166,52.70%,1997
Attack of the Clones,654,569%,5.7,115,311,47.50%,343,52.50%,2002
Austin Powers: The Spy Who Shagged Me,312,946%,9.5,33,206,66.00%,106,34.00%,1999
Avatar,2923,1233%,12.3,237,785,26.90%,2138,73.10%,2009
Avatar 2*,1930,772%,7.7,250,576,31.10%,1353,68.90%,2022
Avengers: Age of Ultron,1403,561%,5.6,250,459,32.70%,944,67.30%,2015
Avengers: Endgame,2798,786%,7.9,356,858,30.70%,1939,69.30%,2019
Avengers: Infinity War,2048,638%,6.4,321,679,33.10%,1370,66.90%,2018
Back to the Future,383,2018%,20.2,19,213,55.50%,171,44.50%,1985
Back to the Future II,333,831%,8.3,40,119,35.80%,214,64.20%,1989
Bad Boys for Life,427,474%,4.7,90,206,48.40%,220,51.60%,2020
Bad Grandpa,152,1012%,10.1,15,102,67.20%,49.8,32.80%,2013
Basic Instinct,353,720%,7.2,49,118,33.40%,235,66.60%,1992
Batman,412,857%,8.6,48,251,61.10%,160,38.90%,1989
Batman Begins,374,249%,2.5,150,207,55.40%,167,44.60%,2005
Batman Forever,337,337%,3.4,100,184,54.70%,152,45.30%,1995
Batman v Superman,874,349%,3.5,250,330,37.80%,543,62.20%,2016
Beauty and the Beast,1306,816%,8.2,160,504,38.60%,801,61.40%,2017
Beauty and the Beast,425,1700%,17,25,219,51.50%,206,48.50%,1991
Beverly Hills Cop,316,2434%,24.3,13,235,74.20%,82,25.80%,1984
Big Hero 6,658,399%,4,165,223,33.80%,435,66.20%,2014
