title ,worldwide gross,% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year,decade
300,456082343,702%,7,65,211,46.20%,245,53.80%,2007,2000's
1917,384576334,427%,4.3,90,159,41.40%,225,58.60%,2019,2010's
2012,791217826,396%,4,200,166,21.00%,625,79.00%,2009,2000's
101 Dalmatians,320689294,479%,4.8,67,136,42.50%,185,57.50%,1996,1990's
22 Jump Street,331333876,663%,6.6,50,192,57.90%,140,42.10%,2014,2010's
300: Rise of an Empire,337580051,307%,3.1,110,107,31.60%,231,68.40%,2014,2010's
A Beautiful Mind,316791257,546%,5.5,58,171,53.90%,146,46.10%,2001,2000's
A Bug's Life,363258859,303%,3,120,163,44.80%,200,55.20%,1998,1990's
A Christmas Carol,325286646,163%,1.6,200,138,42.40%,187,57.60%,2009,2000's
A Haunted House,60141683,2406%,24.1,2.5,40,66.60%,20.1,33.40%,2013,2010's
A Quiet Place,340952971,2006%,20.1,17,188,55.20%,153,44.80%,2018,2010's
A Star Is Born,436233122,1212%,12.1,36,215,49.40%,221,50.60%,2018,2010's
Air Force One,315156409,371%,3.7,85,173,54.90%,142,45.10%,1997,1990's
Aladdin,1050693953,574%,5.7,183,356,33.80%,695,66.20%,2019,2010's
Aladdin,504050219,1800%,18,28,217,43.10%,287,56.90%,1992,1990's
Alice in Wonderland,1025468216,513%,5.1,200,334,32.60%,691,67.40%,2010,2010's
Alita: Battle Angel,404980543,238%,2.4,170,86,21.20%,319,78.80%,2019,2010's
Alvin & the Chipmunks: The Squeakquel,443140005,591%,5.9,75,220,49.60%,224,50.40%,2009,2000's
Alvin and the Chipmunks,365352546,522%,5.2,70,217,59.50%,148,40.50%,2007,2000's
Alvin and the Chipmunks: Chipwrecked,342695435,428%,4.3,80,133,38.80%,210,61.20%,2011,2010's
American Beauty,356296601,2375%,23.8,15,130,36.50%,226,63.50%,1999,1990's
American Sniper,547459020,928%,9.3,59,350,64.00%,197,36.00%,2014,2010's
Angels & Demons,485930816,324%,3.2,150,133,27.40%,353,72.60%,2009,2000's
Annabelle,255273813,3927%,39.3,6.5,84.3,33.00%,171,67.00%,2014,2010's
Annabelle: Creation,305792201,2039%,20.4,15,102.1,33.40%,203.7,66.60%,2017,2010's
Ant-Man,519311965,399%,4,130,180,34.70%,339,65.30%,2015,2010's
